[(50.609341143431145, -133.9350252450257),
(121.31320521690337, -133.9350252450257),
(64.3118711101199, -79.5787993065505),
(64.30790803151193, -79.41587221582046),
(64.95003733991939, -79.25546295090186),
(64.26627375135867, -79.2448533355558),
(64.08244726542536, -79.41113129042265),
(64.69028928512321, -79.24563244600323),
(63.01355366044723, -79.62732918503303),
(64.73251961984634, -79.40330201197835),
(56.8630781306438, -79.930656225598),
(67.25368923651308, -78.55458550255317),
(56.788995784428394, -80.11022179662032),
(59.447441663691194, -80.22630367661716),
(67.46376004120026, -78.71322292056769),
(57.1105001672955, -80.23498448480092),
(67.28311947669235, -78.87045237193553),
(66.3345756898456, -79.0221564078326),
(57.74274661399189, -80.34299125801691),
(67.41492409228434, -79.14603975433113),
(57.909353430108155, -80.59783157625213),
(57.47248982235406, -80.72951715192126),
(56.44972593516452, -80.54524582833247),
(58.151214381578725, -80.72505021375986),
(57.0803105491422, -80.81223455875451),
(57.289797306757066, -80.99967841653117),
(55.177276133742815, -95.03881303533858),
(55.48233699563882, -94.56827328960898),
(55.925283741564286, -89.57452179009097),
(56.11418903322481, -89.81051212346291),
(55.03009859926897, -85.83463989786588),
(55.73053841017238, -94.14140557760436),
(56.153504702806174, -90.97206849686484),
(55.91105279802672, -94.46226883430582),
(55.78165529277712, -93.93848902964015),
(54.57457679067944, -85.34587768788371),
(56.10149115846833, -93.83504872463708),
(56.22521293175686, -92.94608221225768),
(56.24042873141153, -93.84079989439681),
(56.70544415330476, -90.83455133624791),
(56.611973134443105, -90.33719170992073),
(56.75614903133963, -91.86612235387469),
(56.56685164870096, -94.11704906356438),
(56.689846600119644, -92.89734228764723),
(56.340693854230075, -93.5323739328117),
(56.68556166627283, -93.16043877531105),
(56.990917197483704, -92.58474792510864),
(56.80233432321584, -93.51965117067803),
(56.742938730782626, -93.72077782524691),
(56.96687456469223, -91.22288499213506),
(56.696850609730724, -89.96433403485607),
(57.04887353438102, -91.09231529247452),
(57.10493682627427, -91.68646982548775),
(57.14589340376716, -91.00690374899261),
(57.2584471834028, -91.63665346442018),
(57.03133637591782, -90.6701024836028),
(57.41639762986429, -91.96293920270904),
(57.31649696176116, -91.55113294251137),
(57.32210817595008, -91.30134706738161),
(57.50902042154487, -92.6119233300617),
(57.45728179346043, -94.59009132730107),
(57.59255947899631, -91.88168821591547),
(57.670501287837816, -92.24171211859354),
(57.48160708716157, -91.48240276934271),
(58.094189664984604, -92.84791064674245),
(57.7785440534322, -92.16581178404688),
(57.74729102439102, -91.8640987002979),
(58.02334243603778, -92.57484762744338),
(58.294176282516574, -93.27539649898733),
(58.51864128283774, -95.52684978346039),
(58.47034600170002, -93.23263515957005),
(58.63435370560778, -94.00257659263207),
(58.558107753905645, -93.49927871605495),
(58.64251648658778, -93.86400364902207),
(58.551804345667755, -94.78527317905129),
(58.801583084588955, -97.45613604288062),
(58.76395325241981, -94.33084277658381),
(58.7662431585279, -94.47756815780902),
(58.844863954486, -93.73222255440024),
(58.92330147882525, -93.91894910114802),
(59.091657606777275, -99.00944608220553),
(58.850859124010995, -94.79572203361411),
(59.185160207620875, -94.03776909010568),
(62.65023060555339, -97.88768021210691),
(58.79333896000726, -95.16854148352539),
(58.98660935182761, -94.25238096197839),
(59.01423918781366, -95.2763230803263),
(62.09906159484267, -97.07984754718348),
(59.78953636860215, -94.77959348870252),
(59.023383982666225, -94.65046223231325),
(59.083536142442256, -94.95574634872987),
(60.662540568457004, -95.61724083588079),
(59.28776302887085, -94.46842781665092),
(59.31989371398435, -100.0987210079),
(61.14924954973939, -96.18222739947063),
(59.275938631927325, -94.870767364437),
(60.30001115900975, -95.4196926010301),
(59.46315959671432, -95.07934742928771),
(61.92930606904565, -97.50621374169545),
(60.73577800114393, -95.95456826045162),
(60.83805751419571, -96.20847402903271),
(61.61237641219832, -97.66910468138212),
(61.3150671696701, -96.85278408742832),
(61.52175231734377, -97.09007568188268),
(61.06890122369337, -96.51744355200046),
(5.121021768150719, -75.61023668334019),
(5.256981167795544, -75.84003485740405),
(5.695602677113051, -76.38476872555442),
(5.424551777527775, -76.35388263414353),
(5.518283603127919, -76.03164731085329),
(119.10370946460736, -133.9350252450257),
(6.053176378636991, -77.21705760736452),
(5.893187048860057, -76.87911046836606),
(6.315588530588158, -77.5054751775189),
(18.5392821710496, -81.65564077549263),
(18.396626908566738, -81.93535893257612),
(6.456911516665691, -77.95753444908348),
(6.579051799108086, -78.37979731875427),
(14.686740132114522, -82.09545833115322),
(17.595489350234367, -81.84962747081013),
(18.636324080727462, -82.0174974905153),
(13.385082654815616, -82.13522775900356),
(18.957875382432558, -81.95600361979363),
(6.842738201842167, -79.10150249337866),
(18.6171758297145, -81.8129033371596),
(13.13319025001287, -82.55740043689704),
(19.417557242605675, -81.94885443416555),
(6.6470797500875065, -79.36550821016361),
(18.758402554288946, -81.64111114809944),
(7.281939256404762, -79.37420076661483),
(19.659478272760055, -81.89720198411382),
(20.801310182047345, -82.17300289365605),
(18.771836370104808, -81.7745868810138),
(18.386204059167266, -81.44039520866744),
(12.564561349756183, -82.16295149310795),
(6.1157808404872185, -80.72555894565824),
(12.039295051517296, -82.27899875291082),
(8.402865401138762, -80.3102571506359),
(7.13671809524962, -79.95868615781175),
(12.53864144355342, -83.74164336201044),
(18.944888658787608, -81.39888623252753),
(6.044607044905895, -80.14447637257541),
(19.357722557228435, -81.60093884792015),
(6.244777988378033, -80.39561459307028),
(10.245337985167446, -81.23068370616781),
(6.949498962359044, -80.23028838688774),
(8.253112156323937, -80.3961487971291),
(2.8689900453128416, -79.84562478881165),
(9.058560790425823, -80.73068580439796),
(5.398069670084951, -80.4516681151893),
(4.7280610723703305, -80.46484792394162),
(3.471204098566176, -80.2712925592725),
(12.690908165376353, -86.24739615995826),
(13.848807342886307, -87.67330530109216),
(2.541865863117444, -79.94185615816004),
(3.8425330347503674, -80.7991170446841),
(20.82046989046574, -86.41301939459362),
(13.299505679219315, -87.36967798445521),
(13.458488624074707, -87.8664862991826),
(12.207558205140863, -87.90514219723767),
(17.656707978247276, -87.9960424982201),
(13.062438303249817, -87.69490005465336),
(3.5263577636873933, -80.84100420609695),
(17.014896664688756, -88.01293011705197),
(3.147675552074695, -81.5621190989385),
(11.801460789271761, -88.54140312780183),
(2.9196481740965936, -81.02475790202223),
(13.888878740454508, -88.37227188121506),
(2.984285150887395, -81.26058481461243),
(2.729978042650437, -81.13953451776197),
(12.21765319048021, -88.84481096798287),
(15.458378382884714, -88.48808194785576),
(11.846158496640879, -89.17325397038569),
(11.12273153913192, -91.02969455090555),
(13.414618312579766, -89.22155320996873),
(13.590928813573182, -89.30554280659454),
(2.1180516293514557, -81.23098315175261),
(10.955233280980273, -90.87599125431005),
(1.8078046067183067, -81.31614334188424),
(13.948923310856976, -89.17218151400715),
(11.674010995386364, -89.79713238032707),
(12.902103804253937, -89.65314186662253),
(11.297136157448008, -90.20269356120562),
(13.439360950768634, -89.70967763890816),
(12.197660971428803, -89.67210705389083),
(11.919806589312437, -89.71864286330445),
(13.129481790496463, -89.5845364727913),
(11.121288424305739, -90.53444850711941),
(1.2275090560371638, -81.327339531661),
(12.078231170450454, -90.10377525809189),
(11.612305889156662, -90.2109952218238),
(0.8384176021030214, -81.40875158104583),
(114.68471796001535, -133.9350252450257),
(95.31721932870627, -29.065918935481864),
(95.23506287623951, -29.23121191243546),
(94.2627304173514, -27.51787187080941),
(95.14109114962172, -29.38026855363912),
(93.55786888880402, -26.89193463883521),
(95.61047659341646, -29.24897659535328),
