Object ID,Name,Class,Parent,Centroid X µm,Centroid Y µm
f7ae0a5c-7a12-463c-a7a0-f2cadc6542f0,Target: CD68: CD4,Target: CD68: CD4,PathAnnotationObject,334.22,5.623
d0edbf5c-cb56-4f44-9151-d24b3937110e,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,PathAnnotationObject,673.23,5.622
226d6ed5-a196-4114-82c3-901ef7ef878b,PathCellObject,,PathAnnotationObject,2.968,7.026
5b23e640-7eed-4ad4-a629-1ea7bcdb7826,PathCellObject,,PathAnnotationObject,70.86,8.77
ffc60f7c-919f-44b3-b000-d56899136fe3,Target: CD68: CD3: CD4: CD8,Target: CD68: CD3: CD4: CD8,PathAnnotationObject,701.91,4.968
c07ae756-2b11-4f45-a754-1428435049d0,Target: CD20: CD68: CD3: CD4,Target: CD20: CD68: CD3: CD4,PathAnnotationObject,729.4,8.763
af47d345-76e0-4618-b183-de75de351bb2,PathCellObject,,PathAnnotationObject,153.15,9.3
ee1e34b3-6b65-4ff6-80b7-61ef557174e2,Target: CD68: CD3: CD4: CD8,Target: CD68: CD3: CD4: CD8,PathAnnotationObject,614.88,8.921
7c00fdbd-080a-4a82-ace3-6fe8a302b99e,PathCellObject,,PathAnnotationObject,413.23,6.236
50f5d33c-ec24-4be6-9bbd-f20e63269db4,PathCellObject,,PathAnnotationObject,476.21,6.38
172e75af-266f-471a-a2bb-d403341a2131,PathCellObject,,PathAnnotationObject,529.38,6.597
c4a0e9ad-1396-49ce-b4d5-00dd717ff9fc,Target: CD68: CD3: CD4: CD8,Target: CD68: CD3: CD4: CD8,PathAnnotationObject,638.36,6.46
d687160d-ed10-4565-97e9-5fa7bf9eec66,Target: CD3,Target: CD3,PathAnnotationObject,350.27,10.45
c3255967-e4f8-4035-ab82-503ee4f26ccf,Target: CD3,Target: CD3,PathAnnotationObject,442.02,7.75
a8dd5de6-da62-479a-8d08-271a95ae22fa,Target: CD68: CD4: CD8,Target: CD68: CD4: CD8,PathAnnotationObject,682.77,7.163
0ff5ea80-ea3c-4582-a37f-fc84eab36df1,Target: CD20,Target: CD20,PathAnnotationObject,500.62,9.85
bd65f7cf-ed7f-4584-a3e9-bb97c896ffa7,PathCellObject,,PathAnnotationObject,23.62,10.12
5a9b5067-8946-4d39-8b05-559a3f34be89,Target: CD68,Target: CD68,PathAnnotationObject,179.54,9.846
28789800-84de-4a3c-bfb1-da70429742ed,PathCellObject,,PathAnnotationObject,469.31,9.215
baea07a7-1c86-4b79-a2ee-d244edbd7425,PathCellObject,,PathAnnotationObject,319.18,12.53
145bf342-48c8-4ac4-8350-4d1f6fa5933c,PathCellObject,,PathAnnotationObject,481.82,14.17
b6278386-3bd6-43f8-a0a9-275560f08b18,PathCellObject,,PathAnnotationObject,513.36,10.05
1698930e-3623-4465-b343-3f5220de48a1,PathCellObject,,PathAnnotationObject,14.35,11.98
4584ed9b-80c7-4567-981f-ea6cc67fc4af,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,590.95,8.615
fa37a23a-8d2b-442f-8d2c-d3923d80634c,Target: CD68: CD3: CD4,Target: CD68: CD3: CD4,PathAnnotationObject,772.07,11.52
03f86929-b79c-48e0-8e03-e2e15951aa93,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,PathAnnotationObject,690.38,12.74
c3604cef-03c4-4b1a-bb33-bcf25fb8ee88,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,PathAnnotationObject,738.68,12.41
29e43a64-2697-43f7-b732-2aaec3de4664,Target: CD68: CD3: CD4,Target: CD68: CD3: CD4,PathAnnotationObject,640.69,11.72
ae92af86-cdbb-486f-a900-df418383ff78,Target: CD68,Target: CD68,PathAnnotationObject,697.58,11.46
25e50649-cabc-4d80-bd59-778155eed63b,PathCellObject,,PathAnnotationObject,384.93,12.76
a4c66ac2-acde-4a49-a38b-d499c81484c7,PathCellObject,,PathAnnotationObject,450.62,11.19
4adb8748-a01f-4245-8f81-b768f0498027,PathCellObject,,PathAnnotationObject,536.26,14.22
c0ddf420-3052-4c57-bac8-6880e26171db,Target: CD68,Target: CD68,PathAnnotationObject,246.2,13.47
33c26f68-6a01-4941-b308-ebd15a0b3d28,Target: CD20: CD3: CD4: CD8,Target: CD20: CD3: CD4: CD8,PathAnnotationObject,711.42,11.85
5f23c02d-a378-41e5-b49d-93175c77e144,Target: CD8,Target: CD8,PathAnnotationObject,101.56,14.37
ae8e38b6-9ce6-40b6-9442-eb2f2154d286,PathCellObject,,PathAnnotationObject,398.4,10.98
d6f9636a-f607-4395-a31e-b1d5719ef1fd,PathCellObject,,PathAnnotationObject,575.97,13.63
201f5c9d-5ab9-468d-9d44-beb021dc5375,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,751.08,12.48
e70642fb-091c-4660-bb58-122e5efc56f4,Target: CD68: CD8,Target: CD68: CD8,PathAnnotationObject,196.73,13.82
f16812c3-4512-4826-a32c-f3eeb54891c5,Target: CD68,Target: CD68,PathAnnotationObject,220.26,14.61
84fba2ab-072d-4f90-ab14-8df2f5097571,PathCellObject,,PathAnnotationObject,369.74,18.6
